age,gender,employment_type,city_tier,monthly_income,loan_amount,loan_tenure_months,interest_rate,loan_purpose,credit_score,num_existing_loans,num_delinquencies_12m,credit_utilization,ever_defaulted,dpd_max_12m,merchant_vintage_months,avg_monthly_gmv,payment_gateway_score,mobile_recharge_freq,upi_txn_count_3m,app_login_count_30d,emi_bounce_count,dti_ratio,high_risk_score,high_dti,repeat_defaulter,recent_dpd_flag,bounce_risk,emi_estimated,emi_to_income,income_per_lakh,is_merchant,gmv_per_vintage,credit_quality_score,default_flag,default_prob,credit_score_model,risk_band
29,0,1,1,34068,15704,12,36.23,0,656,1,0,0.6496981024492351,0,30,51,25841,69,0,43,6,0,0.03841224182296712,0,0,0,1,0,1579.4621885636489,0.046360685331640165,0.34068,1,506.6862745098039,79.02064405242955,0,0.26613425951896963,544,Super High Risk
64,0,1,0,31134,308662,18,19.5,0,717,0,0,0.37476585660410966,1,60,23,645133,74,1,51,5,0,0.826138857662866,0,1,1,1,0,19915.82647055118,0.6396603973197745,0.31134,1,28049.260869565216,70.54388951340935,0,0.6240944854142225,500,Super High Risk
39,0,1,2,11304,181076,36,31.51,6,513,3,1,0.20771124543064234,0,30,93,40157,57,0,47,9,0,1.3347781217750256,1,1,0,1,0,7837.485098381332,0.6932759927803036,0.11304,1,431.7956989247312,31.004437564499487,1,0.909611209274814,448,Super High Risk
55,0,3,0,15360,499287,3,26.09,3,802,1,0,0.35791425969171486,0,0,0,0,0,2,34,6,0,2.0,0,1,0,0,0,173717.76900169184,11.309014322094384,0.1536,0,0.0,49.111111111111114,0,0.0900209620199987,581,High Risk
60,0,2,0,45958,284196,36,17.71,3,684,0,0,0.7929578145058795,0,0,0,0,0,2,43,7,0,0.515307121564873,0,1,0,0,0,10233.069167217065,0.22265648006303587,0.45958,0,0.0,65.69385756870254,1,0.31366609244408217,537,Super High Risk
58,0,2,1,44020,314485,18,18.72,0,679,2,0,0.15533139595337087,0,90,0,0,0,0,57,10,0,0.5953313948645722,0,1,0,1,0,20174.06338728412,0.45828271477894916,0.4402,0,0.0,63.537816547153,1,0.5546915420365817,508,Super High Risk
34,1,3,0,15001,225880,9,15.99,3,674,1,0,0.40937454636412984,0,30,0,0,0,2,45,12,0,1.2547215926765318,0,1,0,1,0,26799.422310678507,1.7863899687160716,0.15001,0,0.0,49.79445703535825,0,0.3444881430287619,533,Super High Risk
46,2,2,2,24139,65623,18,31.14,5,703,2,0,0.44541642788567926,1,60,0,0,0,2,46,4,0,0.22653617785142224,0,0,1,1,0,4609.491724055121,0.19094829014312847,0.24139,0,0.0,73.58038755408268,0,0.609797951419683,502,Super High Risk
58,1,2,2,25135,439282,12,38.57,3,829,2,0,0.6802182933389783,0,0,0,0,0,2,41,12,0,1.456350785062593,0,1,0,0,0,44697.26815392477,1.7782172244559504,0.25135,0,0.0,62.98409540985925,0,0.14899440782558,565,Super High Risk
48,1,2,0,23109,370653,9,35.69,1,510,1,1,0.3842223793298977,0,0,0,0,0,2,42,3,0,1.336553440069234,1,1,0,0,0,47547.06374566297,2.0574237882156194,0.23109,0,0.0,24.935597865281984,0,0.8708538004438691,459,Super High Risk
35,1,2,1,31350,161777,6,36.41,4,586,1,2,0.8140150552523836,1,0,0,0,0,2,35,8,0,0.4300155231624722,1,0,1,0,0,29897.45676746723,0.9536364635088906,0.3135,0,0.0,46.51080064786167,1,0.8913962126796595,454,Super High Risk
48,0,3,1,113814,73874,9,37.77,5,680,1,0,0.20083121687156,1,30,0,0,0,2,57,11,0,0.05408923838392714,0,0,1,1,0,9553.29684650923,0.08393706318595291,1.13814,0,0.0,74.47377078787702,0,0.47823007742663065,517,Super High Risk
56,1,2,2,24441,385992,36,27.55,6,714,0,1,0.59323377673037,0,0,0,0,0,0,46,6,1,1.3160134195237705,0,1,0,0,1,15872.320642787106,0.6493871468287009,0.24441,0,0.0,40.01306494285792,1,0.4555004610722605,520,Super High Risk
25,2,2,2,108795,466101,6,25.74,3,654,1,0,0.013469765127877741,0,0,0,0,0,2,48,8,0,0.3570145042097136,0,0,0,0,0,83618.70637953936,0.7685825432877988,1.08795,0,0.0,65.5263765824724,0,0.26514900687752335,544,Super High Risk
53,0,2,1,58802,376245,18,26.7,4,737,3,1,0.41503074681477675,0,0,0,0,0,0,51,12,1,0.5331998367430233,0,1,0,0,1,25595.52736568547,0.4352758764975506,0.58802,0,0.0,58.224892154028424,1,0.31307669783011327,537,Super High Risk
40,1,2,1,19158,381350,9,26.86,3,781,0,0,0.2380413915831702,0,30,0,0,0,2,48,3,0,1.6587069610452878,0,1,0,1,0,47254.252834743354,2.4664258486739055,0.19158,0,0.0,53.60363855687201,0,0.1943808276784928,556,Super High Risk
44,0,2,2,41265,8039,3,32.07,3,741,1,1,0.26441112287968316,0,30,0,0,0,2,49,10,1,0.016234107174590864,0,0,0,1,1,2824.153876707854,0.06843779083768367,0.41265,0,0.0,69.00865118984152,0,0.22066916789347182,551,Super High Risk
28,1,3,2,14902,68748,36,39.67,5,631,1,0,0.39497524189783767,0,30,0,0,0,0,52,2,1,0.3844192444474267,0,0,0,1,1,3294.250239290812,0.22104611415760664,0.14902,0,0.0,54.42272622216258,0,0.4424242440130187,521,Super High Risk
48,1,0,0,7494,268329,3,37.21,3,562,0,0,0.6327149245971575,0,0,0,0,0,0,42,14,0,2.0,1,1,0,0,0,95046.41094740428,12.68130899898656,0.07494,0,0.0,22.444444444444443,0,0.7081307080090271,489,Super High Risk
33,1,2,1,40722,254084,24,36.45,2,673,1,1,0.2682950209009516,0,90,0,0,0,0,46,7,0,0.5199436845680984,0,1,0,1,0,15063.674453499,0.3699058137538737,0.40722,0,0.0,59.3789040864158,0,0.629320590183988,499,Super High Risk
61,1,3,0,99942,465495,9,26.55,5,739,2,0,0.2624883641951993,1,0,0,0,0,1,47,7,0,0.3881337362296509,0,0,1,0,0,57610.21714924928,0.57643073701259,0.99942,0,0.0,74.3484363865181,1,0.32447235434654814,536,Super High Risk
53,1,2,2,61511,50285,12,33.37,3,706,1,0,0.623926596880398,0,60,0,0,0,1,49,7,0,0.06812356396583864,0,0,0,1,0,4985.871224495237,0.08105526116034655,0.61511,0,0.0,77.08197316512766,0,0.29244753911199145,540,Super High Risk
48,1,1,1,6322,41579,9,37.84,0,766,2,1,0.603658742195669,0,0,52,111470,73,2,37,9,0,0.5479861879909326,0,1,0,0,0,5378.404060160975,0.8506095303117152,0.06322,1,2143.653846153846,76.45138735129247,0,0.21133193891618712,553,Super High Risk
35,1,1,2,40780,322760,3,20.81,6,621,1,0,0.18461618427738266,0,60,94,54728,61,0,48,11,0,0.659539164480191,0,1,0,1,0,111339.51487683418,2.7301810862125544,0.4078,1,582.2127659574468,61.90921671039618,0,0.5860882732876247,505,Super High Risk
56,1,2,0,46336,485439,18,27.48,6,833,2,0,0.7982173250754975,0,0,0,0,0,0,51,5,0,0.8730226384962341,0,1,0,0,0,33211.24371844685,0.7167327129172552,0.46336,0,0.0,75.09510278563087,0,0.11517609074269411,573,Super High Risk
56,0,1,0,29050,391420,12,30.15,3,861,3,1,0.24879310041900132,0,90,40,39914,83,2,46,8,0,1.1227955434695305,0,1,0,1,0,38187.29728249464,1.3144916623350191,0.2905,1,997.85,76.51075579727606,0,0.20985960461042671,553,Super High Risk
44,1,0,1,23444,281911,36,24.57,0,622,3,0,0.39113518427940625,0,0,0,0,0,0,36,13,0,1.0020295727589392,0,1,0,0,0,11144.719295875602,0.4753559093996845,0.23444,0,0.0,49.07051965593233,0,0.4589008666331736,519,Super High Risk
43,1,4,1,71418,142124,6,30.61,3,573,2,2,0.5582287352903837,0,30,0,0,0,2,43,6,0,0.1658335550297073,1,0,0,1,0,25846.491449231213,0.3618993748054609,0.71418,0,0.0,50.349995566072515,0,0.7394828582547762,484,Super High Risk
42,0,1,1,45847,487698,18,30.13,6,701,0,0,0.44541722286850294,1,30,17,25365,83,2,40,8,0,0.8864399755714535,0,1,1,1,0,34009.70411351713,0.7417925343203003,0.45847,1,1492.0588235294117,68.46008937745981,0,0.6710779523330155,494,Super High Risk
38,0,0,2,13995,482293,36,22.55,5,565,3,0,0.33885818159352293,0,60,0,0,0,0,41,7,0,2.0,1,1,0,1,0,18556.498844158148,1.3258430154442804,0.13995,0,0.0,22.77777777777778,1,0.9014198751409652,451,Super High Risk
57,0,2,0,51601,317570,9,28.84,3,648,2,1,0.4432083561609794,1,90,0,0,0,1,49,17,1,0.5128515690606308,0,1,1,1,1,39659.86589369129,0.768572262580739,0.51601,0,0.0,48.74296861878739,0,0.8782543455808702,458,Super High Risk
51,0,2,1,39676,141457,24,18.03,6,680,3,0,0.5086530166790408,1,0,0,0,0,1,47,8,1,0.29710117532407526,0,0,1,0,1,7064.164328913999,0.17804179572331574,0.39676,0,0.0,61.61353204907405,1,0.5422831603400006,510,Super High Risk
39,2,2,0,35527,329193,24,37.91,1,747,1,1,0.2275280290453774,0,0,0,0,0,1,38,8,1,0.77214450574195,0,1,0,0,1,19772.787327602473,0.5565409628350166,0.35527,0,0.0,54.557109885161,0,0.2857885297377053,541,Super High Risk
63,1,2,2,15553,368090,24,39.88,4,822,2,1,0.3062689488676168,1,60,0,0,0,2,46,3,1,1.972107925078222,0,1,1,1,1,22498.744732289924,1.4464925248996994,0.15553,0,0.0,38.891174831768886,0,0.6219705074021205,500,Super High Risk
45,0,2,2,24150,110122,24,40.8,6,725,4,1,0.24280319720335936,1,0,0,0,0,2,51,3,1,0.379977364636385,0,0,1,0,1,6785.782241430677,0.28097313740344815,0.2415,0,0.0,59.95600826282785,0,0.5136710099041853,513,Super High Risk
64,1,3,0,22154,309559,18,32.58,2,551,1,0,0.20871498568980867,0,0,0,0,0,2,45,9,0,1.1643684646054313,1,1,0,0,0,21968.81139655717,0.9915960910204094,0.22154,0,0.0,37.93485293011359,1,0.8182521273027801,471,Super High Risk
30,1,3,0,91049,298784,18,39.23,6,643,1,1,0.6759680263960756,0,60,0,0,0,2,39,6,0,0.2734614680578437,0,0,0,1,0,22221.566310183734,0.24405893805803114,0.91049,0,0.0,60.975215083287566,0,0.41734817271373154,524,Super High Risk
50,1,2,1,70469,158034,18,38.99,5,797,0,1,0.47992035385248166,1,0,0,0,0,2,46,8,1,0.1868809422449269,0,0,1,0,1,11733.861620571397,0.16650860821018018,0.70469,0,0.0,71.81793671065702,0,0.334145694796951,534,Super High Risk
57,0,3,1,42342,31621,6,38.43,4,698,1,0,0.49900863588131644,0,0,0,0,0,1,51,11,0,0.0622318525690984,0,0,0,0,0,5876.394635812967,0.13878078161237906,0.42342,0,0.0,76.31091850417359,0,0.19164398836204938,556,Super High Risk
22,0,2,0,72295,32205,24,18.87,2,766,5,0,0.2953001825276292,1,90,0,0,0,1,45,8,1,0.037121694146287486,0,0,1,1,1,1621.3761534445143,0.02242691370815141,0.72295,0,0.0,76.36867722818536,0,0.4863300114499354,516,Super High Risk
22,0,2,0,68244,252880,6,35.7,0,735,2,0,0.4635073890014892,0,0,0,0,0,2,39,3,0,0.3087894107016387,0,0,0,0,0,46642.343337845086,0.683454367907467,0.68244,0,0.0,75.4908784526339,0,0.1105769212725756,575,Super High Risk
24,0,3,1,33156,414109,12,15.0,0,638,2,0,0.28807911726425256,0,60,0,0,0,0,34,6,0,1.040778216766696,0,1,0,1,0,37376.77946694071,1.12726662445157,0.33156,0,0.0,50.07332455355497,0,0.5658982661352876,507,Super High Risk
60,0,0,0,49909,94654,18,27.01,0,537,5,0,0.6787327589602238,0,0,0,0,0,0,46,7,0,0.1580411407199626,1,0,0,0,0,6453.712527357541,0.12930700315282592,0.49909,0,0.0,56.50584385226741,1,0.6571884518009086,496,Super High Risk
26,1,2,1,48921,145689,6,16.56,0,578,5,0,0.41059299284794437,0,0,0,0,0,2,49,6,0,0.24816544703814236,1,0,0,0,0,25467.689843788532,0.5205774466250057,0.48921,0,0.0,59.258913281459385,1,0.6014037914175705,503,Super High Risk
50,0,2,0,43804,443602,12,27.06,0,716,1,2,0.34892356030091015,0,30,0,0,0,2,43,12,0,0.8438952935357455,0,1,0,1,0,42606.49909401745,0.9726400888943602,0.43804,0,0.0,52.677649684840645,0,0.31619590987657753,537,Super High Risk
63,1,2,0,46596,20548,9,18.84,3,645,3,0,0.2873155105541104,0,60,0,0,0,0,43,9,1,0.036747716233520036,0,0,0,1,1,2466.0567130228783,0.052923079018453514,0.46596,0,0.0,62.931712341996274,1,0.39760887303260173,527,Super High Risk
46,1,4,1,25984,143058,6,29.41,6,657,0,0,0.11140486932593625,1,30,0,0,0,2,55,13,1,0.45878391379642103,0,0,1,1,1,25929.48513909455,0.9978635804923822,0.25984,0,0.0,55.82432172407158,1,0.6417443904199646,498,Super High Risk
61,1,2,1,29122,250293,6,31.18,6,722,0,0,0.24026785448898363,0,0,0,0,0,1,38,9,0,0.7161951035264225,0,1,0,0,0,45590.23880622995,1.5654375856275091,0.29122,0,0.0,65.89832015169378,0,0.2795045574677961,542,Super High Risk
59,1,0,1,12034,364850,9,35.67,1,740,2,0,0.6798779452617738,0,0,0,0,0,2,58,9,0,2.0,0,1,0,0,0,46799.01998399066,3.888576650103088,0.12034,0,0.0,42.22222222222223,0,0.209417503779206,553,Super High Risk
64,0,3,0,17979,441724,6,38.21,4,636,1,1,0.16847118419477813,0,0,0,0,0,2,45,5,0,2.0,0,1,0,0,0,82039.56908805936,4.562823642272489,0.17979,0,0.0,25.66666666666667,0,0.4300848477041796,523,Super High Risk
36,1,3,2,5109,408443,12,41.28,6,835,3,0,0.20870621948330118,0,90,0,0,0,1,38,8,1,2.0,0,1,0,1,1,42118.1793368167,8.24230515397587,0.05109,0,0.0,44.77777777777777,0,0.33709240959835074,534,Super High Risk
26,1,2,2,48807,197184,12,14.79,3,686,0,0,0.3355092013184854,0,30,0,0,0,0,51,5,0,0.3366661203081462,0,0,0,1,0,17777.96142083537,0.36424277620134754,0.48807,0,0.0,69.4888998160593,0,0.24963479782378148,546,Super High Risk
33,0,0,0,110135,100423,18,26.79,6,703,1,1,0.3040098666764162,0,0,0,0,0,2,51,7,0,0.07598408634173508,0,0,0,0,0,6836.130898721001,0.06206990356215045,1.10135,0,0.0,71.59142938427641,0,0.15535354289956568,563,Super High Risk
47,1,3,1,33992,49919,24,32.3,0,837,2,0,0.34351936757051227,0,0,0,0,0,0,40,6,3,0.12237568519008817,0,0,0,0,1,2850.5519174520346,0.0838570269600222,0.33992,0,0.0,66.55248629619824,0,0.05387456209783804,597,High Risk
40,0,2,2,21127,198799,12,24.36,3,554,0,0,0.25056800621572844,0,0,0,0,0,1,33,9,0,0.7841056102486431,1,1,0,0,0,18833.00493585989,0.8913766062031376,0.21127,0,0.0,45.8734433505827,1,0.8492161612905921,465,Super High Risk
35,1,3,2,13612,296105,3,33.76,6,568,2,0,0.3476617060833922,1,0,0,0,0,0,43,7,0,1.812636205587796,1,1,1,0,0,104306.63526889253,7.662281295004226,0.13612,0,0.0,26.85838699935519,1,0.9269960869537948,441,Super High Risk
47,1,3,1,21417,409415,3,20.05,1,695,0,0,0.8851534041811386,0,0,0,0,0,1,46,10,0,1.5929553023936251,0,1,0,0,0,141057.2829063344,6.585922257275862,0.21417,0,0.0,45.36311617434973,1,0.25145274550706886,546,Super High Risk
61,1,2,0,67523,57071,36,28.91,1,677,1,0,0.8998423624789031,0,0,0,0,0,0,45,8,1,0.07043298185336572,0,0,0,0,1,2388.807783549647,0.03537716639342525,0.67523,0,0.0,65.81356258515491,0,0.2271845623080511,550,Super High Risk
26,1,2,0,31479,253507,36,40.83,4,791,0,1,0.4369961921880798,1,0,0,0,0,2,47,6,0,0.6710795213892418,0,1,1,0,0,12319.350393570496,0.39133895786437406,0.31479,0,0.0,69.46729846110405,0,0.40980599138540535,525,Super High Risk
48,0,4,0,96841,21502,24,30.52,5,748,2,0,0.7697854526792596,0,0,0,0,0,0,39,9,0,0.018502646923166943,0,0,0,0,0,1208.0003735870569,0.01247393045979076,0.96841,0,0.0,82.74105817264777,0,0.11066813058025553,575,Super High Risk
45,1,3,0,12575,431845,18,24.69,3,796,2,0,0.8027627458199358,0,0,0,0,0,1,37,9,0,2.0,0,1,0,0,0,28950.798837686147,2.30206733760227,0.12575,0,0.0,48.44444444444444,0,0.15543111195639173,563,Super High Risk
63,1,0,1,57423,59656,9,26.69,3,621,1,0,0.4310979356152812,0,0,0,0,0,0,53,8,0,0.08657239713940744,0,0,0,0,0,7387.189104443676,0.12864288632703533,0.57423,0,0.0,67.26855205721185,0,0.296177868622492,540,Super High Risk
27,1,3,0,24321,209738,6,16.8,0,600,2,0,0.3826164405762184,0,0,0,0,0,2,48,7,0,0.718615519557054,0,1,0,0,0,36689.03608062601,1.5084711816719845,0.24321,0,0.0,52.29435627552559,0,0.44410863280381224,521,Super High Risk
59,0,1,1,20022,213514,36,35.7,1,637,2,3,0.36314095816788405,0,0,83,23967,89,2,42,11,1,0.8886197539496246,0,1,0,0,1,9743.304275063025,0.48660561729326396,0.20022,1,288.7590361445783,38.90538269878528,0,0.5935703189017886,504,Super High Risk
56,0,3,0,77080,273013,12,37.73,6,700,1,0,0.2417789874023808,1,0,0,0,0,0,54,6,1,0.2951581237053662,0,0,1,0,1,27664.0252730965,0.35889551605579195,0.7708,0,0.0,63.87461530367045,0,0.47715960023555914,517,Super High Risk
63,2,2,1,17973,298119,36,39.93,0,683,1,0,0.3412892878350863,0,90,0,0,0,0,49,9,0,1.382177033492823,0,1,0,1,0,14330.374463188724,0.7972835464108559,0.17973,0,0.0,48.24534821903242,0,0.5943528827947925,504,Super High Risk
36,0,2,1,30160,92574,6,24.97,2,672,2,0,0.4671300815602005,0,0,0,0,0,1,37,9,0,0.25577732833791983,0,0,0,0,0,16571.96115904067,0.5494499903531272,0.3016,0,0.0,69.55112009990827,0,0.21817900612634633,551,Super High Risk
62,1,2,2,51914,452386,9,39.9,3,855,1,1,0.5404371079743232,0,0,0,0,0,1,41,7,0,0.7261645638704293,0,1,0,0,0,58985.60291974115,1.1361957607577993,0.51914,0,0.0,75.47670872259141,0,0.13271985078636192,569,Super High Risk
55,1,4,0,26029,467809,12,32.74,3,743,1,1,0.5838196216724454,0,90,0,0,0,0,35,6,0,1.497659751568703,0,1,0,1,0,46238.165926087764,1.7763413724966486,0.26029,0,0.0,47.6023605241815,0,0.4815415492485027,517,Super High Risk
22,1,3,2,40849,81864,3,26.96,2,593,2,1,0.4670511226445888,0,0,0,0,0,2,49,14,0,0.1670012239902081,1,0,0,0,0,28523.220855238218,0.6982428605933468,0.40849,0,0.0,57.54886440908472,0,0.6642756821052932,495,Super High Risk
49,0,2,0,19551,243046,6,32.17,3,830,2,0,0.6165975886927996,0,0,0,0,0,2,54,5,1,1.0358957310420076,0,1,0,0,1,44392.22385284634,2.270469714241323,0.19551,0,0.0,63.50430760138208,0,0.11782465436708563,573,Super High Risk
50,0,3,0,73169,410116,3,37.51,5,811,3,0,0.44058297678432,0,0,0,0,0,0,48,12,0,0.4670812263678193,0,0,0,0,0,145339.3661757295,1.9863245343136462,0.73169,0,0.0,80.76948658375473,0,0.053919482289484816,597,High Risk
62,0,2,0,111177,137463,36,21.41,5,541,0,1,0.3294437678628082,0,0,0,0,0,2,53,7,0,0.10303522279587689,1,0,0,0,0,5207.910116011257,0.046842991563180274,1.11177,0,0.0,53.05040665519358,0,0.7085494280379058,489,Super High Risk
31,0,1,0,28319,98425,18,36.26,0,578,1,3,0.06103420701764243,0,0,11,65685,73,2,42,3,0,0.2896215866290019,1,0,0,0,0,7169.468856783759,0.25315921104462424,0.28319,1,5971.363636363636,50.729790489642184,0,0.7064365225555619,489,Super High Risk
52,1,2,1,52389,316168,36,34.75,2,635,2,0,0.25162279589457337,0,0,0,0,0,0,42,7,0,0.5029076795826175,0,1,0,0,0,14257.489255031333,0.27214142498628235,0.52389,0,0.0,60.49740196390321,1,0.45258431545382555,520,Super High Risk
46,0,3,0,33609,174934,9,34.35,6,764,1,1,0.1999000332999848,1,60,0,0,0,2,46,6,1,0.43373499950411587,0,0,1,1,1,22323.619826590944,0.6641957699074961,0.33609,0,0.0,63.21418889880657,0,0.5021777747774829,514,Super High Risk
33,0,2,1,49627,25754,18,35.16,5,690,0,1,0.4459217807239837,0,0,0,0,0,0,46,10,0,0.043245076704011176,0,0,0,0,0,1861.4753711001053,0.037508571191668116,0.49627,0,0.0,70.80176513258645,0,0.22517894137766264,550,Super High Risk
64,2,1,0,9228,186834,24,14.42,2,625,2,0,0.16404529551259533,0,60,87,31106,60,0,47,6,0,1.6870191786759128,0,1,0,1,0,9007.554020096031,0.9760054198825475,0.09228,1,357.5402298850575,41.704060870926185,0,0.5603877250411191,508,Super High Risk
28,1,2,1,26012,281548,9,33.7,4,691,0,0,0.4519962180594819,1,30,0,0,0,2,39,7,0,0.9019464626661028,0,1,1,1,0,35837.825347468555,1.3776890534528334,0.26012,0,0.0,58.73884852445572,0,0.6532515658281313,496,Super High Risk
42,0,2,2,26554,156193,36,27.35,6,584,2,1,0.1252157637910029,0,0,0,0,0,2,52,7,2,0.49015565179187853,1,0,0,0,1,6405.977386320911,0.2412343207049863,0.26554,0,0.0,34.08577585305132,0,0.7272989049336603,486,Super High Risk
27,1,2,2,15691,196470,24,15.22,3,590,3,0,0.4516067494345249,0,90,0,0,0,2,51,5,0,1.0433660463930665,1,1,0,1,0,9546.72063904078,0.6083813815345895,0.15691,0,0.0,44.68823462769423,0,0.9037888764592802,450,Super High Risk
33,1,0,1,20207,37555,24,26.81,0,672,2,0,0.3626555154060817,0,0,0,0,0,1,46,5,0,0.15486853391396146,0,0,0,0,0,2038.6338280863147,0.10088251326634574,0.20207,0,0.0,71.56929598838744,0,0.2047280334998664,554,Super High Risk
50,1,2,0,13556,18935,18,41.06,5,706,2,0,0.25877130820634037,1,60,0,0,0,0,46,10,0,0.11639128617442404,0,0,1,1,0,1426.2855441337128,0.10520657550591671,0.13556,0,0.0,76.11661872095596,0,0.5322814254548204,511,Super High Risk
22,0,2,2,23007,30318,9,22.46,6,650,2,0,0.6650729138851497,1,0,0,0,0,2,39,9,0,0.1098096314325452,0,0,1,0,0,3691.708608289911,0.16045326009604968,0.23007,0,0.0,70.02602959357132,0,0.5849625567027563,505,Super High Risk
30,1,0,0,30360,317961,6,15.34,0,710,0,0,0.4623346917496295,0,0,0,0,0,2,40,7,0,0.8727232304601298,0,1,0,0,0,55389.61286086641,1.824367209935984,0.3036,0,0.0,61.43442427968629,0,0.2258291343757692,550,Super High Risk
35,1,2,0,30374,140865,9,14.65,5,616,3,0,0.5512228405268702,0,0,0,0,0,0,38,4,0,0.3864609053497942,0,0,0,0,0,16622.525061988887,0.5472436234399634,0.30374,0,0.0,60.715226337448556,0,0.29690735489359704,539,Super High Risk
36,1,0,1,13591,362319,18,36.38,5,571,1,0,0.6266503328935448,0,30,0,0,0,1,43,8,0,2.0,1,1,0,1,0,26414.321346599096,1.9433726711741537,0.13591,0,0.0,23.444444444444443,1,0.828103594474682,469,Super High Risk
64,1,3,2,11012,50349,12,17.77,2,576,1,0,0.15906211374383641,1,60,0,0,0,0,43,13,0,0.3809815672387179,1,0,1,1,0,4610.486547561742,0.41864038387013,0.11012,0,0.0,56.38036865522564,1,0.9319073103474138,439,Super High Risk
59,0,3,0,19325,469582,9,33.36,6,712,3,0,0.29329642647092613,0,60,0,0,0,2,40,6,0,2.0,0,1,0,1,0,59693.09352901868,3.0887453963064617,0.19325,0,0.0,39.111111111111114,0,0.3850326207871009,528,Super High Risk
54,0,2,0,47650,239414,18,38.9,6,648,2,1,0.44688010985186877,0,90,0,0,0,0,50,7,0,0.41869355662350566,0,0,0,1,0,17765.082836588954,0.3728165796434273,0.4765,0,0.0,58.626128867529886,1,0.5026087565746133,514,Super High Risk
44,1,2,2,46115,153226,12,14.77,6,578,1,1,0.1774325678037697,1,30,0,0,0,2,38,10,0,0.27688510133865324,1,0,1,1,0,13813.295992931915,0.2995336974787908,0.46115,0,0.0,53.68452019544917,0,0.9095721102321095,448,Super High Risk
46,1,2,0,81825,67775,9,41.71,5,631,0,0,0.09521868583338963,1,0,0,0,0,1,38,8,2,0.06902349701398904,0,0,1,0,1,8898.831335513869,0.10875310213763191,0.81825,0,0.0,52.73064117083133,1,0.5754443681505297,506,Super High Risk
30,1,3,1,12380,353011,3,16.45,1,694,2,0,0.36130654523395783,0,60,0,0,0,0,43,9,0,2.0,0,1,0,1,0,120911.10267314612,9.765859193372597,0.1238,0,0.0,37.111111111111114,1,0.3404027522933489,534,Super High Risk
